,last_update,pub_key,alias,addresses,color,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.9.name,features.9.is_required,features.9.is_known,features.12.name,features.12.is_required,features.12.is_known,features.14.name,features.14.is_required,features.14.is_known,features.17.name,features.17.is_required,features.17.is_known,features.31.name,features.31.is_required,features.31.is_known,features.13.name,features.13.is_required,features.13.is_known,features.15.name,features.15.is_required,features.15.is_known,features.45.name,features.45.is_required,features.45.is_known,outCount,outCapacity,inCount,inCapacity,chCount
190,1671400535,03c17c361c9d4d7d343c8047b6b9a7fe162b818c47f4c7978571156a303eebf736,03c17c361c9d4d7d343c,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,0.0,0.0,1.0,10000000.0,1.0
103,1676644945,02dbea4277f4656325621f2c860adcfc3234c98b979dceb60b26b1ab370b67fff6,02dbea4277f465632562,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,90000.0,0.0,0.0,1.0
189,1693687890,03c0533d3cbffeaa32fde5869ef0fa8d5d6c4890b4e247bd95a60704a936eca7fc,03c0533d3cbffeaa32fd,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,0.0,0.0,1.0,10000000.0,1.0
109,1687050743,02e4bb0375428abad490c8988c4eec2f6622914fd0ef3ced3508c22421bba2ad9e,02e4bb0375428abad490,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,3000000.0,0.0,0.0,1.0
110,1671906515,02e555629de96ac697782457905bb8513216447c31f193921c2b56c2a396518981,02e555629de96ac69778,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,10000000.0,0.0,0.0,1.0
34,1685253984,024147a09841e08100858a1e02e1aaea74d75b188619314a381ff274f6a8d282e7,024147a09841e0810085,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,10000000.0,0.0,0.0,1.0
35,1711460046,02441c0826d264328eac5e70832b96f80dd9634d78a5b5e92b55dd44fc2f8d30a1,02441c0826d264328eac,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,unknown,False,False,1.0,1000000.0,0.0,0.0,1.0
183,1671569854,03afe64e598f03c964b752f56183ea85c74ceee6b311ba273091e6d6a2af632398,03afe64e598f03c964b7,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,100000.0,0.0,0.0,1.0
112,1711631756,02e708e39dfe15b1a63d31c35802fffd0a9d74cf66e1c35760ee594e796cfb2650,02e708e39dfe15b1a63d,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,,,,,,,,,,,,,1.0,45000000.0,0.0,0.0,1.0
181,0,03af39c3fbd320117758c2720c2ffc70e2b7d6503253ba746962f68f60ec1b03af,,[],#000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,100000000.0,0.0,0.0,1.0
180,1683003190,03af1e26a824cf1495791a168a335ff8a5f50fc31017df46fc41e5c74139ff54c4,03af1e26a824cf149579,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,1000000.0,0.0,0.0,1.0
87,1675258652,02bd1a9a2646830b382af62410e7c37cf7710ef0f973e5e18cdc6e6d64b040a24f,02bd1a9a2646830b382a,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,20000000.0,0.0,0.0,1.0
